"alpha","tau","delta","convergence"
0.0496754027855151,0.00690536245469462,0.219897197975433,1
0.240660180532795,0.0624899195597897,0.0636939792821963,1
0.291208672727589,0.0346719470691449,0.209261428001436,1
0.209293622334788,0.0404830966956158,0.108310776061971,1
0.469132853437632,0.0810786664205096,0.156688716186639,1
0.215151540800647,0.0272188895091069,0.197790133104609,1
0.510865847419912,0.0747457129021464,0.165303980513849,1
0.163378409202902,0.0270759618763733,0.109383984818446,1
0.0726582044785819,0.0135834927228723,0.169617332484306,1
0.0803151981585278,0.0135916157609046,0.17490680046458,1
0.0632975052061162,0.0093768439018521,0.181560509801751,1
0.337758228771056,0.0500214102307522,0.16760722048507,1
0.179525616624556,0.0248683134337948,0.170685013570331,1
0.112237886690261,0.0254462565201002,0.129902412153074,1
0.180772015333868,0.0379334164633517,0.111854126771685,1
0.26786326557001,0.0396857771465145,0.128705903196033,1
0.495190555419781,0.0592782610808037,0.209104658641551,1
0.534808660165537,0.0839889209092388,0.16249167911109,1
0.0569534442413778,0.00740723690349914,0.20510281428557,1
0.507681617147657,0.108566381444066,0.0907446946730107,1
0.200291169408068,0.0469707663904508,0.108419832379723,1
0.157946223383855,0.0415652289094912,0.09724038594481,1
0.413290022503373,0.0645350493062799,0.13038345270159,1
0.327042582491861,0.0539937354100147,0.134125491128838,1
0.652777289540993,0.0841384090108736,0.212671904523313,1
0.142153638115086,0.0168953115366408,0.202194515756109,1
0.126796767587511,0.0320304015934937,0.111466618866405,1
0.0884799571922352,0.0129673535366263,0.188120503437957,1
0.420968541121643,0.111520194581145,0.092000709620461,1
0.109582741889184,0.0173591032912911,0.151592682079345,1
0.21906081240916,0.0417191948560471,0.124790157475989,1
0.287526743905569,0.0532230479634507,0.106971247413144,1
0.0489045005123025,0.00556267936060737,0.249915370000916,1
0.388665057841257,0.0744451283383025,0.138094768911496,1
0.0900221126101232,0.0149371826431584,0.156581720449987,1
0.29758486610286,0.0592857727027705,0.119825668120365,1
0.174353645915848,0.0577736068220361,0.0832002156058237,1
0.0590894241378033,0.0106770991860758,0.173371993395049,1
0.123801475048985,0.0337959673008996,0.105295837383808,1
0.0653092377513906,0.0116596578843863,0.168009265723078,1
0.823816120339156,0.143041436739067,0.178429559775474,1
0.317782576520419,0.0756521367915185,0.111334547325495,1
0.368688484428704,0.0905775558892049,0.0744829303196565,1
0.399544509133931,0.0815789580508152,0.122519207392801,1
0.678740963103229,0.0968365908748218,0.198379293430659,1
1.07961017619886,0.174668337783151,0.208612609776222,1
0.170011989445273,0.0368338309820779,0.123391420954028,1
0.474707397223913,0.0940714908163561,0.125902281380851,1
0.433356715660577,0.0644642178390784,0.131996271556419,1
0.353899678461898,0.0479508864944195,0.154319176962683,1
0.248012724130186,0.0484227921560046,0.115593019268692,1
1.5363476429892,0.218933465370536,0.286344215959893,0
0.0922108709816456,0.0181140983842895,0.139328207968316,1
0.684871154616224,0.0939751377495223,0.219688772711879,0
0.447690704440677,0.167482351632371,0.063374681840994,1
0.0555442204729175,0.00606558615991672,0.24617747438934,1
0.515091519343447,0.0617660302258437,0.182593035382784,1
0.363683775209213,0.072669307977803,0.108440832120663,1
0.575270349149189,0.110754812462593,0.141191710963503,1
0.757198278919061,0.133510609823453,0.147564269535856,1
0.0698226768382716,0.011043331797044,0.177033281566682,1
0.584189055229485,0.0804799896395892,0.204826815525681,1
0.559889930704798,0.0721698058625783,0.184005943596313,1
0.0474074019100595,0.00578294488727411,0.241426784298072,1
0.542877568614423,0.0632484051688128,0.234642239602717,1
0.109551623434338,0.027181626840299,0.115407161832591,1
0.0657075510417114,0.00848381772638017,0.219506991226774,1
0.506347618099268,0.102950477551579,0.129650800502496,1
0.151200175699385,0.0376340887041282,0.107696950146898,1
0.471279501615719,0.0816761552571747,0.148520015646557,1
0.170184635101661,0.0505476043707124,0.063843560163742,1
1.16604307816837,0.147975835512697,0.260261716519441,0
0.73866869540116,0.140752500785713,0.136303115647397,1
0.13106331127106,0.0303701477544565,0.11804133645401,1
0.150130643668566,0.0497234239447528,0.0880572831513634,1
0.153485636387917,0.0320202021791471,0.0821206134518744,1
0.0709576097725212,0.0118293086348061,0.158875840790145,1
0.557210276334812,0.0678493907184772,0.228782328081678,1
0.115005773759837,0.017714705455584,0.158308382113124,1
0.669077485394325,0.109616617414649,0.17663351422954,1
1.46749557137932,0.166159127275544,0.283046732296699,1
0.414759346222823,0.0437974383012772,0.272851982033059,1
0.227943707051793,0.0428781046909134,0.128314326459051,1
0.359141773460465,0.120101654650209,0.0716152137318899,1
0.364592302061069,0.0535345327366451,0.0938909164038261,1
0.0612447129493441,0.0105177765951997,0.177379119600601,1
0.249840190016159,0.0391940954351599,0.139613283084119,1
0.0945722127120425,0.0181606437941412,0.135524980752764,1
0.288498060976098,0.0989269758145399,0.0711022458061893,1
0.0411879833329,0.00435068577762242,0.257959447345176,1
0.371111820101415,0.0423123623019657,0.143825255142496,1
0.137279615833973,0.0200632609232612,0.12744287146319,1
0.0918569860026343,0.0113368195251006,0.189442496021287,1
0.0435006451780686,0.00455833488914075,0.284302909142668,1
0.0900777773563123,0.0200769321026062,0.130475940674388,1
0.3387761596906,0.121436515333313,0.0673812035164892,1
0.0803336838238025,0.0153309923522552,0.143927048705747,1
0.135673817803797,0.0274851863283478,0.0996676102413642,1
0.7551593272991,0.145841848039089,0.137578529417504,1
0.187145429311695,0.0251776229678184,0.148544137597256,1
0.0407478853897257,0.00489026708561589,0.24168182506376,1
0.302043181937002,0.063463968427042,0.0955092554169246,1
0.163941264117834,0.0505350676794859,0.0916496008772126,1
0.1418134049179,0.0235756833583153,0.149365452256619,1
0.721744579796588,0.102688579591715,0.153155663892273,1
0.304586424996377,0.0425203813397728,0.17787963730441,1
0.067369305981161,0.0105853897744743,0.184764809511716,1
0.359442281479651,0.0304876199922071,0.185922824192069,1
0.0555557289975128,0.00677959024044314,0.23236106005196,1
0.669157568774207,0.0809184427061555,0.163142376144208,1
0.461709582505331,0.0907329644306963,0.129157413191306,1
0.6614046883097,0.0795968747519885,0.208516107495864,1
1.21372539143449,0.161147002403194,0.220536987687517,1
0.114901273169098,0.0199054617528086,0.126278916438364,1
0.198406557473992,0.0470223361797665,0.0820318528002361,1
0.996472275097189,0.136921575419524,0.232030445550685,1
0.0552202898942683,0.00640389462707394,0.235658805955687,1
1.25179440347716,0.17392381946273,0.222362196691748,1
0.0807374541254538,0.020444682385949,0.118127051214592,1
0.614759915473885,0.0865951405782285,0.196053134312406,1
0.253732277285539,0.0713557322695645,0.0891843175346603,1
